application_id,client_id,submission_date,instrument_type,mid_module,risk_class
APP00272,CLI0010,2024-12-12,Electricity Meter,D,Low
APP00175,CLI0032,2024-12-14,Electricity Meter,B,High
APP00262,CLI0010,2024-12-19,Electricity Meter,B,High
APP00047,CLI0017,2024-12-23,Taximeter,B,Medium
APP00075,CLI0015,2024-12-24,Electricity Meter,D,High
APP00154,CLI0045,2025-01-12,Water Meter,B,Low
APP00048,CLI0005,2025-01-13,Gas Meter,B,Medium
APP00157,CLI0020,2025-01-19,Water Meter,B,Low
APP00274,CLI0044,2025-01-24,Gas Meter,B,High
APP00265,CLI0045,2025-01-27,Water Meter,D,Medium
APP00254,CLI0031,2025-01-27,Gas Meter,B,Medium
APP00007,CLI0013,2025-02-12,Water Meter,B,High
APP00077,CLI0015,2025-02-12,Gas Meter,B,Medium
APP00200,CLI0031,2025-02-14,Gas Meter,D,Medium
APP00239,CLI0021,2025-02-17,Water Meter,B,Medium
APP00178,CLI0013,2025-02-20,Dispenser,D,High
APP00126,CLI0014,2025-02-21,Water Meter,B,Medium
APP00213,CLI0001,2025-02-22,Gas Meter,B,Low
APP00018,CLI0043,2025-02-24,Electricity Meter,D,Low
APP00266,CLI0015,2025-02-24,Electricity Meter,B,Medium
APP00257,CLI0018,2025-02-28,Gas Meter,B,Medium
APP00127,CLI0022,2025-03-01,Taximeter,D,Medium
APP00039,CLI0039,2025-03-05,Gas Meter,B,Low
APP00132,CLI0049,2025-03-05,Water Meter,B,High
APP00128,CLI0004,2025-03-06,Taximeter,D,High
APP00164,CLI0022,2025-03-06,Taximeter,B,Medium
APP00145,CLI0049,2025-03-07,Gas Meter,D,Medium
APP00290,CLI0020,2025-03-10,Water Meter,B,Medium
APP00110,CLI0042,2025-03-11,Gas Meter,B,High
APP00140,CLI0002,2025-03-14,Water Meter,B,Medium
APP00225,CLI0029,2025-03-18,Gas Meter,D,Low
APP00232,CLI0012,2025-03-22,Gas Meter,D,High
APP00221,CLI0039,2025-03-25,Electricity Meter,B,Low
APP00121,CLI0032,2025-03-26,Electricity Meter,B,Low
APP00115,CLI0021,2025-03-29,Electricity Meter,B,High
APP00180,CLI0031,2025-04-03,Electricity Meter,B,High
APP00185,CLI0022,2025-04-09,Taximeter,B,Low
APP00112,CLI0036,2025-04-12,Gas Meter,B,Medium
APP00044,CLI0001,2025-04-14,Dispenser,D,Medium
APP00286,CLI0010,2025-04-15,Electricity Meter,D,Medium
APP00023,CLI0028,2025-04-18,Taximeter,B,Low
APP00241,CLI0043,2025-04-18,Electricity Meter,D,Medium
APP00099,CLI0019,2025-04-21,Electricity Meter,B,Medium
APP00287,CLI0017,2025-04-21,Electricity Meter,D,Medium
APP00153,CLI0008,2025-04-21,Gas Meter,B,Low
APP00074,CLI0007,2025-04-26,Gas Meter,B,Low
APP00146,CLI0017,2025-04-26,Gas Meter,B,High
APP00016,CLI0037,2025-04-29,Dispenser,B,Medium
APP00118,CLI0029,2025-05-01,Gas Meter,B,Medium
APP00106,CLI0010,2025-05-01,Gas Meter,B,Low
APP00198,CLI0037,2025-05-05,Dispenser,D,Medium
APP00253,CLI0046,2025-05-09,Dispenser,D,Low
APP00292,CLI0013,2025-05-09,Water Meter,B,High
APP00002,CLI0006,2025-05-12,Electricity Meter,D,Low
APP00134,CLI0039,2025-05-14,Gas Meter,B,High
APP00275,CLI0021,2025-05-14,Water Meter,B,Medium
APP00261,CLI0038,2025-05-16,Gas Meter,B,Low
APP00224,CLI0035,2025-05-20,Electricity Meter,B,High
APP00268,CLI0025,2025-05-22,Gas Meter,D,Low
APP00243,CLI0024,2025-05-25,Water Meter,B,Medium
APP00223,CLI0026,2025-05-27,Water Meter,B,Medium
APP00116,CLI0040,2025-05-31,Electricity Meter,D,High
APP00046,CLI0005,2025-06-02,Dispenser,B,Low
APP00258,CLI0022,2025-06-03,Gas Meter,B,Medium
APP00092,CLI0047,2025-06-03,Electricity Meter,B,Low
APP00255,CLI0013,2025-06-04,Dispenser,B,Medium
APP00252,CLI0010,2025-06-05,Electricity Meter,D,High
APP00100,CLI0029,2025-06-07,Gas Meter,B,Low
APP00084,CLI0028,2025-06-07,Gas Meter,B,High
APP00177,CLI0018,2025-06-13,Dispenser,B,Medium
APP00008,CLI0043,2025-06-13,Electricity Meter,B,High
APP00242,CLI0027,2025-06-14,Taximeter,B,Low
APP00086,CLI0003,2025-06-16,Gas Meter,B,Medium
APP00120,CLI0018,2025-06-17,Water Meter,B,High
APP00205,CLI0039,2025-06-19,Gas Meter,B,Medium
APP00190,CLI0047,2025-06-21,Water Meter,D,Low
APP00035,CLI0038,2025-06-27,Dispenser,B,Low
APP00003,CLI0005,2025-06-29,Electricity Meter,D,Low
APP00168,CLI0018,2025-07-05,Dispenser,D,Medium
APP00123,CLI0018,2025-07-07,Dispenser,D,High
APP00263,CLI0022,2025-07-10,Taximeter,B,High
APP00133,CLI0035,2025-07-13,Electricity Meter,B,High
APP00097,CLI0037,2025-07-15,Dispenser,D,Medium
APP00117,CLI0028,2025-07-15,Gas Meter,B,Low
APP00004,CLI0050,2025-07-16,Electricity Meter,B,Low
APP00025,CLI0029,2025-07-17,Water Meter,D,Low
APP00237,CLI0043,2025-07-17,Gas Meter,B,Low
APP00184,CLI0034,2025-07-17,Dispenser,D,Medium
APP00248,CLI0016,2025-07-18,Electricity Meter,B,Low
APP00249,CLI0001,2025-07-19,Gas Meter,D,Low
APP00183,CLI0043,2025-07-20,Electricity Meter,D,High
APP00094,CLI0026,2025-07-21,Dispenser,B,Medium
APP00010,CLI0022,2025-07-21,Taximeter,B,Low
APP00161,CLI0039,2025-08-02,Electricity Meter,D,Low
APP00296,CLI0026,2025-08-02,Dispenser,B,Medium
APP00172,CLI0029,2025-08-06,Electricity Meter,D,High
APP00015,CLI0043,2025-08-07,Gas Meter,D,Medium
APP00293,CLI0007,2025-08-11,Electricity Meter,B,Medium
APP00130,CLI0045,2025-08-12,Water Meter,B,High
APP00038,CLI0016,2025-08-15,Gas Meter,D,Medium
APP00064,CLI0010,2025-08-19,Electricity Meter,B,High
APP00285,CLI0044,2025-08-20,Water Meter,B,Low
APP00129,CLI0025,2025-08-21,Electricity Meter,D,Medium
APP00260,CLI0047,2025-08-24,Water Meter,B,Medium
APP00289,CLI0029,2025-08-24,Gas Meter,D,Low
APP00169,CLI0050,2025-08-29,Electricity Meter,B,Low
APP00114,CLI0034,2025-09-01,Electricity Meter,B,Medium
APP00204,CLI0008,2025-09-12,Electricity Meter,D,Medium
APP00247,CLI0002,2025-09-15,Gas Meter,B,Low
APP00208,CLI0037,2025-09-16,Dispenser,D,Medium
APP00049,CLI0019,2025-09-18,Electricity Meter,B,Medium
APP00096,CLI0025,2025-09-22,Gas Meter,B,Medium
APP00103,CLI0033,2025-09-26,Water Meter,B,High
APP00284,CLI0012,2025-09-26,Electricity Meter,D,Medium
APP00068,CLI0043,2025-09-27,Electricity Meter,B,Medium
APP00151,CLI0013,2025-09-28,Electricity Meter,D,Low
APP00137,CLI0030,2025-09-29,Gas Meter,B,Medium
APP00090,CLI0043,2025-09-30,Taximeter,B,Medium
APP00159,CLI0005,2025-10-04,Dispenser,B,High
APP00057,CLI0006,2025-10-11,Dispenser,B,Medium
APP00165,CLI0032,2025-10-12,Electricity Meter,B,Medium
APP00119,CLI0029,2025-10-14,Gas Meter,B,Medium
APP00196,CLI0036,2025-10-15,Gas Meter,B,High
APP00020,CLI0044,2025-10-23,Water Meter,B,Medium
APP00251,CLI0030,2025-10-25,Taximeter,B,Medium
APP00163,CLI0024,2025-10-25,Water Meter,B,Medium
APP00167,CLI0047,2025-10-28,Water Meter,B,High
APP00271,CLI0047,2025-11-01,Water Meter,D,Medium
APP00101,CLI0031,2025-11-05,Gas Meter,B,Medium
APP00295,CLI0002,2025-11-05,Water Meter,D,Medium
APP00210,CLI0041,2025-11-07,Water Meter,D,Medium
APP00162,CLI0003,2025-11-08,Electricity Meter,B,High
APP00139,CLI0026,2025-11-09,Dispenser,B,Medium
APP00050,CLI0042,2025-11-10,Electricity Meter,B,Medium
APP00095,CLI0009,2025-11-11,Water Meter,B,Low
APP00113,CLI0009,2025-11-14,Gas Meter,B,High
APP00152,CLI0010,2025-11-16,Electricity Meter,B,Low
APP00088,CLI0047,2025-11-17,Gas Meter,B,Medium
APP00042,CLI0016,2025-11-18,Gas Meter,B,Medium
APP00227,CLI0002,2025-11-21,Water Meter,D,Low
APP00037,CLI0005,2025-11-22,Dispenser,B,Medium
APP00079,CLI0050,2025-11-26,Electricity Meter,D,High
APP00160,CLI0016,2025-12-01,Electricity Meter,B,High
APP00087,CLI0035,2025-12-04,Gas Meter,B,Low
APP00188,CLI0048,2025-12-07,Water Meter,D,Medium
APP00006,CLI0035,2025-12-07,Water Meter,B,High
APP00063,CLI0005,2025-12-08,Electricity Meter,B,High
APP00179,CLI0032,2025-12-08,Gas Meter,B,Low
APP00108,CLI0030,2025-12-14,Gas Meter,B,Low
APP00222,CLI0008,2025-12-17,Electricity Meter,B,Medium
APP00073,CLI0018,2025-12-19,Dispenser,B,Medium
APP00176,CLI0018,2025-12-19,Water Meter,D,Medium
APP00215,CLI0003,2025-12-20,Electricity Meter,B,High
APP00061,CLI0048,2025-12-23,Water Meter,B,High
APP00267,CLI0003,2025-12-23,Electricity Meter,D,High
APP00125,CLI0010,2025-12-24,Gas Meter,D,High
APP00193,CLI0001,2025-12-26,Gas Meter,B,Medium
