audit_id,application_id,audit_date,audit_status,failure_reason
AUD00048,APP00244,2024-04-12,FAIL,Metrological requirements unclear
AUD00049,APP00244,2024-05-07,PASS,
AUD00050,APP00056,2024-03-25,PASS,
AUD00051,APP00147,2024-04-15,PASS,
AUD00052,APP00195,2024-04-11,PASS,
AUD00053,APP00019,2024-03-14,FAIL,Metrological requirements unclear
AUD00054,APP00019,2024-04-01,FAIL,Technical file incomplete
AUD00055,APP00019,2024-04-19,FAIL,Marking/labelling non-compliant
AUD00056,APP00019,2024-05-07,FAIL,Documentation inconsistencies
AUD00057,APP00019,2024-05-25,PASS,
AUD00058,APP00032,2024-03-20,FAIL,Documentation inconsistencies
AUD00059,APP00032,2024-04-09,FAIL,Test report gaps
AUD00060,APP00032,2024-04-29,FAIL,Technical file incomplete
AUD00061,APP00032,2024-05-19,FAIL,Technical file incomplete
AUD00062,APP00032,2024-06-08,PASS,
AUD00063,APP00033,2024-03-23,FAIL,Software documentation missing
AUD00064,APP00033,2024-04-12,FAIL,Technical file incomplete
AUD00065,APP00033,2024-05-02,PASS,
AUD00066,APP00009,2024-03-29,FAIL,Non-conformance handling unclear
AUD00067,APP00009,2024-04-21,PASS,
AUD00068,APP00148,2024-04-17,PASS,
AUD00069,APP00078,2024-05-05,PASS,
AUD00070,APP00256,2024-04-03,PASS,
AUD00071,APP00089,2024-03-31,FAIL,Technical file incomplete
AUD00072,APP00089,2024-04-19,FAIL,Documentation inconsistencies
AUD00073,APP00089,2024-05-08,FAIL,Documentation inconsistencies
AUD00074,APP00089,2024-05-27,FAIL,Documentation inconsistencies
AUD00075,APP00089,2024-06-15,PASS,
AUD00076,APP00011,2024-04-02,FAIL,Metrological requirements unclear
AUD00077,APP00011,2024-04-22,FAIL,Documentation inconsistencies
AUD00078,APP00011,2024-05-12,FAIL,Test report gaps
AUD00079,APP00011,2024-06-01,PASS,
AUD00080,APP00107,2024-04-09,FAIL,Test report gaps
AUD00081,APP00107,2024-05-04,PASS,
AUD00082,APP00043,2024-04-05,PASS,
AUD00083,APP00288,2024-05-05,PASS,
AUD00084,APP00024,2024-04-14,PASS,
AUD00085,APP00001,2024-04-07,FAIL,Metrological requirements unclear
AUD00086,APP00001,2024-04-24,FAIL,Marking/labelling non-compliant
AUD00087,APP00001,2024-05-11,FAIL,Software documentation missing
AUD00088,APP00001,2024-05-28,FAIL,Technical file incomplete
AUD00089,APP00001,2024-06-14,PASS,
AUD00090,APP00233,2024-05-19,PASS,
AUD00091,APP00026,2024-05-12,PASS,
AUD00092,APP00017,2024-05-18,PASS,
AUD00093,APP00278,2024-05-02,FAIL,Technical file incomplete
AUD00094,APP00278,2024-05-24,FAIL,Documentation inconsistencies
AUD00095,APP00278,2024-06-15,FAIL,Test report gaps
AUD00096,APP00278,2024-07-07,PASS,
AUD00097,APP00269,2024-05-17,PASS,
AUD00098,APP00279,2024-05-04,FAIL,Technical file incomplete
AUD00099,APP00279,2024-05-26,FAIL,Test report gaps
AUD00100,APP00279,2024-06-17,PASS,
AUD00101,APP00045,2024-05-28,PASS,
AUD00102,APP00052,2024-06-07,PASS,
AUD00103,APP00021,2024-05-14,FAIL,Test report gaps
AUD00104,APP00021,2024-06-06,FAIL,Documentation inconsistencies
AUD00105,APP00021,2024-06-29,PASS,
AUD00106,APP00062,2024-05-25,PASS,
AUD00107,APP00250,2024-06-20,PASS,
AUD00108,APP00187,2024-06-03,PASS,
AUD00109,APP00246,2024-06-11,PASS,
AUD00110,APP00091,2024-05-30,FAIL,Production process not documented
AUD00111,APP00091,2024-06-22,PASS,
AUD00112,APP00194,2024-06-19,PASS,
AUD00113,APP00245,2024-06-08,FAIL,Training records missing
AUD00114,APP00245,2024-07-03,PASS,
AUD00115,APP00051,2024-06-10,FAIL,Technical file incomplete
AUD00116,APP00051,2024-07-04,PASS,
AUD00117,APP00124,2024-06-09,FAIL,Software documentation missing
AUD00118,APP00124,2024-06-28,FAIL,Test report gaps
AUD00119,APP00124,2024-07-17,FAIL,Metrological requirements unclear
AUD00120,APP00124,2024-08-05,PASS,
AUD00121,APP00022,2024-06-24,FAIL,Documentation inconsistencies
AUD00122,APP00022,2024-07-26,PASS,
AUD00123,APP00219,2024-07-16,PASS,
AUD00124,APP00282,2024-07-09,PASS,
AUD00125,APP00109,2024-06-27,FAIL,Technical file incomplete
AUD00126,APP00109,2024-07-24,PASS,
AUD00127,APP00201,2024-06-28,PASS,
AUD00128,APP00031,2024-07-10,FAIL,Software documentation missing
AUD00129,APP00031,2024-08-12,PASS,
AUD00130,APP00211,2024-07-18,PASS,
AUD00131,APP00212,2024-07-04,FAIL,Software documentation missing
AUD00132,APP00212,2024-07-29,FAIL,Metrological requirements unclear
AUD00133,APP00212,2024-08-23,PASS,
AUD00134,APP00060,2024-07-24,PASS,
AUD00135,APP00155,2024-07-21,PASS,
AUD00136,APP00029,2024-08-02,PASS,
AUD00137,APP00136,2024-07-06,FAIL,Documentation inconsistencies
AUD00138,APP00136,2024-07-24,FAIL,Test report gaps
AUD00139,APP00136,2024-08-11,FAIL,Documentation inconsistencies
AUD00140,APP00136,2024-08-29,FAIL,Technical file incomplete
AUD00141,APP00136,2024-09-16,PASS,
AUD00142,APP00027,2024-07-12,FAIL,Marking/labelling non-compliant
AUD00143,APP00027,2024-08-04,PASS,
AUD00144,APP00283,2024-07-29,PASS,
AUD00145,APP00230,2024-08-15,PASS,
AUD00146,APP00166,2024-07-21,PASS,
AUD00147,APP00070,2024-07-29,FAIL,Technical file incomplete
AUD00148,APP00070,2024-08-27,PASS,
AUD00149,APP00174,2024-07-28,PASS,
AUD00150,APP00141,2024-08-01,PASS,
AUD00151,APP00036,2024-07-24,FAIL,Corrective action records missing
AUD00152,APP00036,2024-08-08,FAIL,Calibration records outdated
AUD00153,APP00036,2024-08-23,PASS,
AUD00154,APP00264,2024-08-06,FAIL,Technical file incomplete
AUD00155,APP00264,2024-08-31,FAIL,Test report gaps
AUD00156,APP00264,2024-09-25,PASS,
AUD00157,APP00191,2024-09-10,PASS,
AUD00158,APP00217,2024-08-14,FAIL,Durability evidence insufficient
AUD00159,APP00217,2024-09-07,PASS,
AUD00160,APP00158,2024-08-14,FAIL,Software documentation missing
AUD00161,APP00158,2024-09-06,FAIL,Software documentation missing
AUD00162,APP00158,2024-09-29,PASS,
AUD00163,APP00105,2024-08-29,PASS,
AUD00164,APP00054,2024-08-26,FAIL,Metrological requirements unclear
AUD00165,APP00054,2024-09-25,PASS,
AUD00166,APP00209,2024-09-06,PASS,
AUD00167,APP00005,2024-09-12,PASS,
AUD00168,APP00028,2024-09-18,PASS,
AUD00169,APP00299,2024-09-13,FAIL,Metrological requirements unclear
AUD00170,APP00299,2024-10-15,PASS,
AUD00171,APP00181,2024-09-13,PASS,
AUD00172,APP00218,2024-10-11,PASS,
AUD00173,APP00277,2024-09-23,PASS,
AUD00174,APP00076,2024-09-23,PASS,
AUD00175,APP00012,2024-09-14,PASS,
AUD00176,APP00298,2024-09-13,FAIL,Supplier control insufficient
AUD00177,APP00298,2024-10-04,FAIL,Internal audit gaps
AUD00178,APP00298,2024-10-25,PASS,
AUD00179,APP00186,2024-09-25,FAIL,Test report gaps
AUD00180,APP00186,2024-10-27,PASS,
AUD00181,APP00122,2024-09-14,FAIL,Technical file incomplete
AUD00182,APP00122,2024-10-01,FAIL,EMC test results missing
AUD00183,APP00122,2024-10-18,FAIL,Marking/labelling non-compliant
AUD00184,APP00122,2024-11-04,FAIL,Technical file incomplete
AUD00185,APP00122,2024-11-21,PASS,
AUD00186,APP00104,2024-09-24,PASS,
AUD00187,APP00069,2024-10-03,PASS,
AUD00188,APP00170,2024-10-16,PASS,
AUD00189,APP00150,2024-10-10,PASS,
AUD00190,APP00203,2024-10-10,FAIL,Metrological requirements unclear
AUD00191,APP00203,2024-11-08,PASS,
AUD00192,APP00072,2024-09-30,FAIL,Management review incomplete
AUD00193,APP00072,2024-10-19,FAIL,Training records missing
AUD00194,APP00072,2024-11-07,PASS,
AUD00195,APP00067,2024-10-04,PASS,
AUD00196,APP00300,2024-10-21,PASS,
AUD00197,APP00226,2024-10-06,FAIL,Test report gaps
AUD00198,APP00226,2024-10-29,FAIL,Marking/labelling non-compliant
AUD00199,APP00226,2024-11-21,PASS,
AUD00200,APP00199,2024-10-17,FAIL,Technical file incomplete
AUD00201,APP00199,2024-11-18,PASS,
AUD00202,APP00238,2024-10-22,PASS,
AUD00203,APP00085,2024-10-07,FAIL,Metrological requirements unclear
AUD00204,APP00085,2024-10-27,FAIL,Documentation inconsistencies
AUD00205,APP00085,2024-11-16,PASS,
AUD00206,APP00040,2024-11-11,PASS,
AUD00207,APP00081,2024-10-18,FAIL,Marking/labelling non-compliant
AUD00208,APP00081,2024-11-11,PASS,
AUD00209,APP00216,2024-10-17,FAIL,EMC test results missing
AUD00210,APP00216,2024-11-06,FAIL,Marking/labelling non-compliant
AUD00211,APP00216,2024-11-26,FAIL,Test report gaps
AUD00212,APP00216,2024-12-16,FAIL,Durability evidence insufficient
AUD00213,APP00216,2025-01-05,PASS,
AUD00214,APP00055,2024-11-04,PASS,
AUD00215,APP00030,2024-10-24,FAIL,Durability evidence insufficient
AUD00216,APP00030,2024-11-19,PASS,
AUD00217,APP00229,2024-11-21,PASS,
AUD00218,APP00053,2024-11-12,PASS,
AUD00219,APP00189,2024-11-16,PASS,
AUD00220,APP00144,2024-11-23,PASS,
AUD00221,APP00231,2024-11-02,FAIL,Internal audit gaps
AUD00222,APP00231,2024-11-24,PASS,
AUD00223,APP00171,2024-11-14,FAIL,Durability evidence insufficient
AUD00224,APP00171,2024-12-17,PASS,
AUD00225,APP00014,2024-11-01,FAIL,Technical file incomplete
AUD00226,APP00014,2024-11-21,FAIL,Test report gaps
AUD00227,APP00014,2024-12-11,FAIL,Technical file incomplete
AUD00228,APP00014,2024-12-31,FAIL,Technical file incomplete
AUD00229,APP00014,2025-01-20,PASS,
AUD00230,APP00259,2024-12-09,PASS,
AUD00231,APP00102,2024-11-08,FAIL,Technical file incomplete
AUD00232,APP00102,2024-11-30,FAIL,Metrological requirements unclear
AUD00233,APP00102,2024-12-22,PASS,
AUD00234,APP00236,2024-12-04,PASS,
AUD00235,APP00214,2024-11-16,FAIL,Documentation inconsistencies
AUD00236,APP00214,2024-12-08,FAIL,Software documentation missing
AUD00237,APP00214,2024-12-30,PASS,
AUD00238,APP00281,2024-11-17,FAIL,Training records missing
AUD00239,APP00281,2024-12-08,PASS,
AUD00240,APP00294,2024-12-07,PASS,
AUD00241,APP00206,2024-11-23,FAIL,Documentation inconsistencies
AUD00242,APP00206,2024-12-16,FAIL,Test report gaps
AUD00243,APP00206,2025-01-08,PASS,
AUD00244,APP00131,2024-12-26,PASS,
AUD00245,APP00291,2024-11-22,FAIL,Supplier control insufficient
AUD00246,APP00291,2024-12-09,PASS,
AUD00247,APP00192,2024-11-20,FAIL,Internal audit gaps
AUD00248,APP00192,2024-12-05,FAIL,Non-conformance handling unclear
AUD00249,APP00192,2024-12-20,FAIL,Management review incomplete
AUD00250,APP00192,2025-01-04,PASS,
AUD00251,APP00202,2024-12-26,PASS,
AUD00252,APP00098,2024-12-08,PASS,
AUD00253,APP00207,2024-12-08,PASS,
AUD00254,APP00182,2024-12-11,FAIL,Metrological requirements unclear
AUD00255,APP00182,2025-01-12,PASS,
AUD00256,APP00220,2024-12-04,FAIL,Technical file incomplete
AUD00257,APP00220,2024-12-28,PASS,
AUD00258,APP00083,2025-01-10,PASS,
AUD00259,APP00041,2024-12-09,PASS,
AUD00260,APP00234,2025-01-11,PASS,
AUD00261,APP00093,2025-01-03,PASS,
AUD00262,APP00142,2025-01-11,PASS,
AUD00263,APP00273,2024-12-19,FAIL,Training records missing
AUD00264,APP00273,2025-01-05,PASS,
AUD00265,APP00235,2025-01-10,PASS,
AUD00266,APP00013,2025-01-26,PASS,
AUD00267,APP00080,2024-12-27,FAIL,Durability evidence insufficient
AUD00268,APP00080,2025-01-18,FAIL,Technical file incomplete
AUD00269,APP00080,2025-02-09,PASS,
AUD00270,APP00071,2025-01-07,PASS,
AUD00271,APP00059,2024-12-22,FAIL,Management review incomplete
AUD00272,APP00059,2025-01-06,FAIL,Calibration records outdated
AUD00273,APP00059,2025-01-21,PASS,
AUD00274,APP00143,2025-01-09,PASS,
AUD00275,APP00272,2024-12-30,FAIL,Management review incomplete
AUD00276,APP00272,2025-01-17,PASS,
AUD00277,APP00175,2025-01-03,FAIL,Software documentation missing
AUD00278,APP00175,2025-01-23,FAIL,EMC test results missing
AUD00279,APP00175,2025-02-12,FAIL,Documentation inconsistencies
AUD00280,APP00175,2025-03-04,PASS,
AUD00281,APP00262,2025-01-23,PASS,
AUD00282,APP00047,2025-01-16,FAIL,Software documentation missing
AUD00283,APP00047,2025-02-09,FAIL,Documentation inconsistencies
AUD00284,APP00047,2025-03-05,PASS,
AUD00285,APP00075,2025-01-25,PASS,
AUD00286,APP00154,2025-02-23,PASS,
AUD00287,APP00048,2025-02-05,FAIL,Test report gaps
AUD00288,APP00048,2025-02-28,FAIL,Metrological requirements unclear
AUD00289,APP00048,2025-03-23,PASS,
AUD00290,APP00157,2025-02-24,PASS,
AUD00291,APP00274,2025-03-14,PASS,
AUD00292,APP00265,2025-02-17,FAIL,Management review incomplete
AUD00293,APP00265,2025-03-10,PASS,
AUD00294,APP00254,2025-02-28,FAIL,EMC test results missing
AUD00295,APP00254,2025-04-01,PASS,
AUD00296,APP00007,2025-04-08,PASS,
AUD00297,APP00077,2025-03-22,PASS,
AUD00298,APP00200,2025-03-16,PASS,
AUD00299,APP00239,2025-04-12,PASS,
AUD00300,APP00178,2025-03-23,PASS,
AUD00301,APP00126,2025-03-31,PASS,
AUD00302,APP00213,2025-04-16,PASS,
AUD00303,APP00018,2025-03-18,PASS,
AUD00304,APP00266,2025-04-09,PASS,
AUD00305,APP00257,2025-03-22,FAIL,Software documentation missing
AUD00306,APP00257,2025-04-13,FAIL,Documentation inconsistencies
AUD00307,APP00257,2025-05-05,PASS,
AUD00308,APP00127,2025-03-26,PASS,
AUD00309,APP00039,2025-04-29,PASS,
AUD00310,APP00132,2025-04-25,PASS,
AUD00311,APP00128,2025-04-06,PASS,
AUD00312,APP00164,2025-04-30,PASS,
AUD00313,APP00145,2025-03-26,FAIL,Calibration records outdated
AUD00314,APP00145,2025-04-14,PASS,
AUD00315,APP00290,2025-04-22,PASS,
AUD00316,APP00110,2025-05-04,PASS,
AUD00317,APP00140,2025-05-08,PASS,
AUD00318,APP00225,2025-04-27,PASS,
AUD00319,APP00232,2025-04-29,PASS,
AUD00320,APP00221,2025-04-24,FAIL,Software documentation missing
AUD00321,APP00221,2025-05-24,PASS,
AUD00322,APP00121,2025-04-17,FAIL,Technical file incomplete
AUD00323,APP00121,2025-05-09,FAIL,Technical file incomplete
AUD00324,APP00121,2025-05-31,FAIL,Documentation inconsistencies
AUD00325,APP00121,2025-06-22,PASS,
AUD00326,APP00115,2025-04-18,FAIL,Documentation inconsistencies
AUD00327,APP00115,2025-05-08,FAIL,Documentation inconsistencies
AUD00328,APP00115,2025-05-28,FAIL,Technical file incomplete
AUD00329,APP00115,2025-06-17,FAIL,Technical file incomplete
AUD00330,APP00115,2025-07-07,PASS,
AUD00331,APP00180,2025-05-28,PASS,
AUD00332,APP00185,2025-05-28,PASS,
AUD00333,APP00112,2025-05-31,PASS,
AUD00334,APP00044,2025-05-04,FAIL,Training records missing
AUD00335,APP00044,2025-05-24,PASS,
AUD00336,APP00286,2025-05-06,FAIL,Corrective action records missing
AUD00337,APP00286,2025-05-27,PASS,
AUD00338,APP00023,2025-05-10,FAIL,Documentation inconsistencies
AUD00339,APP00023,2025-06-01,FAIL,Documentation inconsistencies
AUD00340,APP00023,2025-06-23,PASS,
AUD00341,APP00241,2025-05-09,PASS,
AUD00342,APP00099,2025-06-04,PASS,
AUD00343,APP00287,2025-05-13,PASS,
AUD00344,APP00153,2025-05-22,FAIL,Metrological requirements unclear
AUD00345,APP00153,2025-06-22,PASS,
AUD00346,APP00074,2025-06-18,PASS,
AUD00347,APP00146,2025-05-20,FAIL,Technical file incomplete
AUD00348,APP00146,2025-06-13,PASS,
AUD00349,APP00016,2025-06-21,PASS,
AUD00350,APP00118,2025-05-29,FAIL,Marking/labelling non-compliant
AUD00351,APP00118,2025-06-26,PASS,
AUD00352,APP00106,2025-05-26,FAIL,Software documentation missing
AUD00353,APP00106,2025-06-20,FAIL,Technical file incomplete
AUD00354,APP00106,2025-07-15,PASS,
AUD00355,APP00198,2025-05-26,PASS,
AUD00356,APP00253,2025-06-08,PASS,
AUD00357,APP00292,2025-05-29,FAIL,Documentation inconsistencies
AUD00358,APP00292,2025-06-18,FAIL,Durability evidence insufficient
AUD00359,APP00292,2025-07-08,PASS,
AUD00360,APP00002,2025-06-06,PASS,
AUD00361,APP00134,2025-07-02,PASS,
AUD00362,APP00275,2025-06-14,FAIL,Marking/labelling non-compliant
AUD00363,APP00275,2025-07-15,PASS,
AUD00364,APP00261,2025-06-25,PASS,
AUD00365,APP00224,2025-07-03,PASS,
AUD00366,APP00268,2025-06-21,PASS,
AUD00367,APP00243,2025-06-18,FAIL,Test report gaps
AUD00368,APP00243,2025-07-12,PASS,
AUD00369,APP00223,2025-06-29,FAIL,Metrological requirements unclear
AUD00370,APP00223,2025-08-01,PASS,
AUD00371,APP00116,2025-06-30,PASS,
AUD00372,APP00046,2025-07-19,PASS,
AUD00373,APP00258,2025-07-27,PASS,
AUD00374,APP00092,2025-06-26,FAIL,Technical file incomplete
AUD00375,APP00092,2025-07-19,FAIL,EMC test results missing
AUD00376,APP00092,2025-08-11,PASS,
AUD00377,APP00255,2025-07-13,PASS,
AUD00378,APP00252,2025-06-25,FAIL,Internal audit gaps
AUD00379,APP00252,2025-07-15,PASS,
AUD00380,APP00100,2025-07-06,FAIL,Marking/labelling non-compliant
AUD00381,APP00100,2025-08-04,PASS,
AUD00382,APP00084,2025-07-14,PASS,
AUD00383,APP00177,2025-07-30,PASS,
AUD00384,APP00008,2025-07-03,FAIL,Metrological requirements unclear
AUD00385,APP00008,2025-07-23,FAIL,Metrological requirements unclear
AUD00386,APP00008,2025-08-12,FAIL,Test report gaps
AUD00387,APP00008,2025-09-01,PASS,
AUD00388,APP00242,2025-07-15,FAIL,Technical file incomplete
AUD00389,APP00242,2025-08-15,PASS,
AUD00390,APP00086,2025-08-03,PASS,
AUD00391,APP00120,2025-07-22,PASS,
AUD00392,APP00205,2025-07-29,PASS,
AUD00393,APP00190,2025-07-09,FAIL,Training records missing
AUD00394,APP00190,2025-07-27,FAIL,Internal audit gaps
AUD00395,APP00190,2025-08-14,PASS,
AUD00396,APP00035,2025-07-28,FAIL,Technical file incomplete
AUD00397,APP00035,2025-08-28,PASS,
AUD00398,APP00003,2025-07-23,PASS,
AUD00399,APP00168,2025-08-03,PASS,
AUD00400,APP00123,2025-07-24,FAIL,Production process not documented
AUD00401,APP00123,2025-08-10,PASS,
AUD00402,APP00263,2025-08-11,FAIL,Documentation inconsistencies
AUD00403,APP00263,2025-09-12,PASS,
AUD00404,APP00133,2025-08-07,FAIL,Technical file incomplete
AUD00405,APP00133,2025-09-01,FAIL,EMC test results missing
AUD00406,APP00133,2025-09-26,PASS,
AUD00407,APP00097,2025-08-14,PASS,
AUD00408,APP00117,2025-08-06,FAIL,Durability evidence insufficient
AUD00409,APP00117,2025-08-28,FAIL,Marking/labelling non-compliant
AUD00410,APP00117,2025-09-19,FAIL,EMC test results missing
AUD00411,APP00117,2025-10-11,PASS,
AUD00412,APP00004,2025-09-01,PASS,
AUD00413,APP00025,2025-08-11,PASS,
AUD00414,APP00237,2025-08-08,FAIL,Technical file incomplete
AUD00415,APP00237,2025-08-30,FAIL,Documentation inconsistencies
AUD00416,APP00237,2025-09-21,FAIL,Software documentation missing
AUD00417,APP00237,2025-10-13,PASS,
AUD00418,APP00184,2025-08-04,FAIL,Production process not documented
AUD00419,APP00184,2025-08-22,PASS,
AUD00420,APP00248,2025-08-07,FAIL,Technical file incomplete
AUD00421,APP00248,2025-08-27,FAIL,Software documentation missing
AUD00422,APP00248,2025-09-16,PASS,
AUD00423,APP00249,2025-08-15,PASS,
AUD00424,APP00183,2025-08-14,FAIL,Internal audit gaps
AUD00425,APP00183,2025-09-08,PASS,
AUD00426,APP00094,2025-09-08,PASS,
AUD00427,APP00010,2025-09-01,PASS,
AUD00428,APP00161,2025-09-06,PASS,
AUD00429,APP00296,2025-08-28,FAIL,Technical file incomplete
AUD00430,APP00296,2025-09-23,PASS,
AUD00431,APP00172,2025-09-13,PASS,
AUD00432,APP00015,2025-08-24,FAIL,Calibration records outdated
AUD00433,APP00015,2025-09-10,FAIL,Non-conformance handling unclear
AUD00434,APP00015,2025-09-27,FAIL,Non-conformance handling unclear
AUD00435,APP00015,2025-10-14,PASS,
AUD00436,APP00293,2025-09-09,FAIL,Technical file incomplete
AUD00437,APP00293,2025-10-08,PASS,
AUD00438,APP00130,2025-09-29,PASS,
AUD00439,APP00038,2025-09-03,FAIL,Management review incomplete
AUD00440,APP00038,2025-09-22,PASS,
AUD00441,APP00064,2025-09-13,FAIL,Documentation inconsistencies
AUD00442,APP00064,2025-10-08,PASS,
AUD00443,APP00285,2025-09-13,FAIL,Technical file incomplete
AUD00444,APP00285,2025-10-07,PASS,
AUD00445,APP00129,2025-09-11,FAIL,Management review incomplete
AUD00446,APP00129,2025-10-02,PASS,
AUD00447,APP00260,2025-10-01,PASS,
AUD00448,APP00289,2025-09-13,FAIL,Corrective action records missing
AUD00449,APP00289,2025-10-03,FAIL,Supplier control insufficient
AUD00450,APP00289,2025-10-23,PASS,
AUD00451,APP00169,2025-09-26,FAIL,Software documentation missing
AUD00452,APP00169,2025-10-24,PASS,
AUD00453,APP00114,2025-10-11,PASS,
AUD00454,APP00204,2025-10-18,PASS,
AUD00455,APP00247,2025-11-02,PASS,
AUD00456,APP00208,2025-10-13,PASS,
AUD00457,APP00049,2025-10-08,FAIL,Metrological requirements unclear
AUD00458,APP00049,2025-10-28,FAIL,Test report gaps
AUD00459,APP00049,2025-11-17,FAIL,Technical file incomplete
AUD00460,APP00049,2025-12-07,PASS,
AUD00461,APP00096,2025-10-13,FAIL,Documentation inconsistencies
AUD00462,APP00096,2025-11-03,FAIL,Documentation inconsistencies
AUD00463,APP00096,2025-11-24,FAIL,Documentation inconsistencies
AUD00464,APP00096,2025-12-15,PASS,
AUD00465,APP00103,2025-11-16,PASS,
AUD00466,APP00284,2025-10-28,PASS,
AUD00467,APP00068,2025-10-26,FAIL,Software documentation missing
AUD00468,APP00068,2025-11-24,PASS,
AUD00469,APP00151,2025-10-28,PASS,
AUD00470,APP00137,2025-11-01,FAIL,Test report gaps
AUD00471,APP00137,2025-12-04,PASS,
AUD00472,APP00090,2025-11-08,PASS,
AUD00473,APP00159,2025-11-17,PASS,
AUD00474,APP00057,2025-11-05,FAIL,Technical file incomplete
AUD00475,APP00057,2025-11-30,PASS,
AUD00476,APP00165,2025-11-26,PENDING,
AUD00477,APP00119,2025-11-26,PASS,
AUD00478,APP00196,2025-12-08,PASS,
AUD00479,APP00020,2025-12-06,PASS,
AUD00480,APP00251,2025-12-06,PASS,
AUD00481,APP00163,2025-11-17,FAIL,Technical file incomplete
AUD00482,APP00163,2025-12-10,FAIL,Metrological requirements unclear
AUD00483,APP00163,2026-01-02,PENDING,
AUD00484,APP00167,2025-11-28,FAIL,Technical file incomplete
AUD00485,APP00167,2025-12-29,PASS,
AUD00486,APP00271,2025-12-07,PASS,
AUD00487,APP00101,2025-11-27,FAIL,Durability evidence insufficient
AUD00488,APP00101,2025-12-19,FAIL,Test report gaps
AUD00489,APP00101,2026-01-10,PASS,
AUD00490,APP00295,2025-12-02,PASS,
AUD00491,APP00210,2025-11-29,PASS,
AUD00492,APP00162,2025-12-29,PASS,
AUD00493,APP00139,2025-12-10,FAIL,Test report gaps
AUD00494,APP00139,2026-01-10,PASS,
AUD00495,APP00050,2025-12-25,PENDING,
AUD00496,APP00095,2025-12-27,PASS,
AUD00497,APP00113,2025-12-21,PASS,
AUD00498,APP00152,2025-12-09,FAIL,Test report gaps
AUD00499,APP00152,2026-01-01,FAIL,Durability evidence insufficient
AUD00500,APP00152,2026-01-24,PENDING,
AUD00501,APP00088,2026-01-01,PENDING,
AUD00502,APP00042,2026-01-02,PASS,
AUD00503,APP00227,2025-12-25,PASS,
AUD00504,APP00037,2025-12-18,FAIL,Documentation inconsistencies
AUD00505,APP00037,2026-01-13,PASS,
AUD00506,APP00079,2025-12-26,PENDING,
AUD00507,APP00160,2026-01-11,PASS,
AUD00508,APP00087,2026-01-17,PASS,
AUD00509,APP00188,2025-12-31,FAIL,Non-conformance handling unclear
AUD00510,APP00188,2026-01-24,PASS,
AUD00511,APP00006,2026-01-31,PASS,
AUD00512,APP00063,2026-01-13,PASS,
AUD00513,APP00179,2026-01-15,PASS,
AUD00514,APP00108,2026-01-30,PASS,
AUD00515,APP00222,2026-01-05,FAIL,Test report gaps
